**************************************************************************************************************


SPECIES :  I^+ / I^-
PROCESS:  I^+ + I^- -> I + I, RECOMBINATION
PARAM.:   delta E = 0.00
COMMENT:  rate (T)
UPDATED:  10/27/22
COLUMNS: Energy (eV) | Cross section (m2)
-----------------------------
 1.000000e-03    4.609758e-15
 1.016265e-03    4.535980e-15
 1.032795e-03    4.463382e-15
 1.049593e-03    4.391947e-15
 1.066665e-03    4.321655e-15
 1.084014e-03    4.252488e-15
 1.101646e-03    4.184428e-15
 1.119564e-03    4.117457e-15
 1.137774e-03    4.051558e-15
 1.156280e-03    3.986714e-15
 1.175087e-03    3.922907e-15
 1.194200e-03    3.860122e-15
 1.213624e-03    3.798342e-15
 1.233363e-03    3.737550e-15
 1.253424e-03    3.677731e-15
 1.273811e-03    3.618870e-15
 1.294530e-03    3.560951e-15
 1.315586e-03    3.503959e-15
 1.336984e-03    3.447879e-15
 1.358730e-03    3.392696e-15
 1.380830e-03    3.338397e-15
 1.403289e-03    3.284967e-15
 1.426114e-03    3.232391e-15
 1.449310e-03    3.180658e-15
 1.472883e-03    3.129752e-15
 1.496839e-03    3.079661e-15
 1.521186e-03    3.030372e-15
 1.545928e-03    2.981871e-15
 1.571072e-03    2.934147e-15
 1.596626e-03    2.887187e-15
 1.622595e-03    2.840978e-15
 1.648987e-03    2.795509e-15
 1.675808e-03    2.750767e-15
 1.703065e-03    2.706742e-15
 1.730766e-03    2.663421e-15
 1.758917e-03    2.620794e-15
 1.787526e-03    2.578849e-15
 1.816600e-03    2.537575e-15
 1.846147e-03    2.496961e-15
 1.876175e-03    2.456998e-15
 1.906691e-03    2.417674e-15
 1.937703e-03    2.378980e-15
 1.969220e-03    2.340905e-15
 2.001250e-03    2.303439e-15
 2.033800e-03    2.266573e-15
 2.066880e-03    2.230297e-15
 2.100498e-03    2.194602e-15
 2.134663e-03    2.159478e-15
 2.169384e-03    2.124916e-15
 2.204669e-03    2.090907e-15
 2.240528e-03    2.057443e-15
 2.276970e-03    2.024514e-15
 2.314005e-03    1.992112e-15
 2.351643e-03    1.960229e-15
 2.389893e-03    1.928856e-15
 2.428764e-03    1.897985e-15
 2.468268e-03    1.867608e-15
 2.508415e-03    1.837717e-15
 2.549215e-03    1.808305e-15
 2.590678e-03    1.779364e-15
 2.632815e-03    1.750885e-15
 2.675638e-03    1.722863e-15
 2.719158e-03    1.695289e-15
 2.763385e-03    1.668156e-15
 2.808332e-03    1.641458e-15
 2.854010e-03    1.615186e-15
 2.900430e-03    1.589336e-15
 2.947606e-03    1.563899e-15
 2.995549e-03    1.538869e-15
 3.044272e-03    1.514240e-15
 3.093788e-03    1.490005e-15
 3.144108e-03    1.466157e-15
 3.195248e-03    1.442692e-15
 3.247218e-03    1.419602e-15
 3.300035e-03    1.396882e-15
 3.353710e-03    1.374525e-15
