**************************************************************************************************************


SPECIES :  I^+ / I2
PROCESS:  I^+ + I2 -> I + I2^+, CHARGE_EXCHANGE
PARAM.:   delta E = -1.14
COMMENT:  fit from data of figure 5 in Hause et al (2015) in the center of mass, exothermic reaction 1.14 eV
UPDATED:  10/31/22
COLUMNS: Energy (eV) | Cross section (m2)
-----------------------------
 1.000000e-03    1.720975e-17
 1.016265e-03    1.707148e-17
 1.032795e-03    1.693431e-17
 1.049593e-03    1.679825e-17
 1.066665e-03    1.666328e-17
 1.084014e-03    1.652940e-17
 1.101646e-03    1.639659e-17
 1.119564e-03    1.626485e-17
 1.137774e-03    1.613417e-17
 1.156280e-03    1.600454e-17
 1.175087e-03    1.587595e-17
 1.194200e-03    1.574839e-17
 1.213624e-03    1.562185e-17
 1.233363e-03    1.549634e-17
 1.253424e-03    1.537183e-17
 1.273811e-03    1.524832e-17
 1.294530e-03    1.512581e-17
 1.315586e-03    1.500428e-17
 1.336984e-03    1.488372e-17
 1.358730e-03    1.476414e-17
 1.380830e-03    1.464551e-17
 1.403289e-03    1.452784e-17
 1.426114e-03    1.441111e-17
 1.449310e-03    1.429533e-17
 1.472883e-03    1.418047e-17
 1.496839e-03    1.406653e-17
 1.521186e-03    1.395351e-17
 1.545928e-03    1.384140e-17
 1.571072e-03    1.373019e-17
 1.596626e-03    1.361987e-17
 1.622595e-03    1.351044e-17
 1.648987e-03    1.340189e-17
 1.675808e-03    1.329421e-17
 1.703065e-03    1.318739e-17
 1.730766e-03    1.308144e-17
 1.758917e-03    1.297633e-17
 1.787526e-03    1.287207e-17
 1.816600e-03    1.276865e-17
 1.846147e-03    1.266606e-17
 1.876175e-03    1.256429e-17
 1.906691e-03    1.246334e-17
 1.937703e-03    1.236320e-17
 1.969220e-03    1.226387e-17
 2.001250e-03    1.216533e-17
 2.033800e-03    1.206759e-17
 2.066880e-03    1.197063e-17
 2.100498e-03    1.187445e-17
 2.134663e-03    1.177904e-17
 2.169384e-03    1.168440e-17
 2.204669e-03    1.159052e-17
 2.240528e-03    1.149740e-17
 2.276970e-03    1.140502e-17
 2.314005e-03    1.131338e-17
 2.351643e-03    1.122248e-17
 2.389893e-03    1.113231e-17
 2.428764e-03    1.104287e-17
 2.468268e-03    1.095414e-17
 2.508415e-03    1.086613e-17
 2.549215e-03    1.077883e-17
 2.590678e-03    1.069222e-17
 2.632815e-03    1.060631e-17
 2.675638e-03    1.052109e-17
 2.719158e-03    1.043656e-17
 2.763385e-03    1.035271e-17
 2.808332e-03    1.026953e-17
 2.854010e-03    1.018701e-17
 2.900430e-03    1.010516e-17
 2.947606e-03    1.002397e-17
 2.995549e-03    9.943434e-18
 3.044272e-03    9.863542e-18
 3.093788e-03    9.784292e-18
 3.144108e-03    9.705678e-18
 3.195248e-03    9.627696e-18
 3.247218e-03    9.550341e-18
 3.300035e-03    9.473607e-18
 3.353710e-03    9.397490e-18
 3.408259e-03    9.321984e-18
 3.463694e-03    9.247085e-18
 3.520031e-03    9.172788e-18
 3.577285e-03    9.099088e-18
 3.635470e-03    9.025980e-18
 3.694601e-03    8.953459e-18
 3.754694e-03    8.881521e-18
 3.815765e-03    8.810161e-18
 3.877828e-03    8.739374e-18
 3.940902e-03    8.669156e-18
 4.005001e-03    8.599503e-18
 4.070142e-03    8.530408e-18
 4.136344e-03    8.461869e-18
 4.203622e-03    8.393881e-18
 4.271994e-03    8.326439e-18
 4.341478e-03    8.259539e-18
 4.412093e-03    8.193176e-18
 4.483856e-03    8.127347e-18
 4.556786e-03    8.062047e-18
 4.630903e-03    7.997271e-18
 4.706225e-03    7.933015e-18
 4.782772e-03    7.869276e-18
 4.860564e-03    7.806049e-18
 4.939622e-03    7.743330e-18
 5.019965e-03    7.681115e-18
 5.101615e-03    7.619400e-18
 5.184594e-03    7.558181e-18
 5.268921e-03    7.497453e-18
 5.354621e-03    7.437214e-18
 5.441714e-03    7.377458e-18
 5.530224e-03    7.318183e-18
 5.620174e-03    7.259384e-18
 5.711586e-03    7.201057e-18
 5.804486e-03    7.143199e-18
 5.898896e-03    7.085806e-18
 5.994843e-03    7.028874e-18
 6.092349e-03    6.972399e-18
 6.191442e-03    6.916378e-18
 6.292146e-03    6.860807e-18
 6.394488e-03    6.805683e-18
 6.498495e-03    6.751002e-18
 6.604194e-03    6.696760e-18
 6.711612e-03    6.642954e-18
 6.820777e-03    6.589580e-18
 6.931717e-03    6.536635e-18
 7.044462e-03    6.484115e-18
 7.159041e-03    6.432017e-18
 7.275484e-03    6.380338e-18
 7.393820e-03    6.329074e-18
 7.514081e-03    6.278222e-18
 7.636298e-03    6.227779e-18
 7.760503e-03    6.177741e-18
 7.886729e-03    6.128105e-18
 8.015007e-03    6.078868e-18
 8.145372e-03    6.030026e-18
 8.277857e-03    5.981577e-18
 8.412497e-03    5.933517e-18
 8.549327e-03    5.885843e-18
 8.688383e-03    5.838552e-18
 8.829700e-03    5.791641e-18
 8.973316e-03    5.745107e-18
 9.119268e-03    5.698947e-18
 9.267593e-03    5.653158e-18
 9.418332e-03    5.607737e-18
 9.571522e-03    5.562681e-18
 9.727203e-03    5.517987e-18
 9.885417e-03    5.473651e-18
 1.004620e-02    5.429672e-18
 1.020961e-02    5.386047e-18
 1.037567e-02    5.342772e-18
 1.054443e-02    5.299844e-18
 1.071593e-02    5.257262e-18
 1.089023e-02    5.215022e-18
 1.106736e-02    5.173121e-18
 1.124737e-02    5.131556e-18
 1.143031e-02    5.090326e-18
 1.161623e-02    5.049427e-18
 1.180517e-02    5.008857e-18
 1.199718e-02    4.968612e-18
 1.219231e-02    4.928691e-18
 1.239062e-02    4.889091e-18
 1.259216e-02    4.849808e-18
 1.279697e-02    4.810842e-18
 1.300511e-02    4.772188e-18
 1.321664e-02    4.733845e-18
 1.343161e-02    4.695811e-18
 1.365008e-02    4.658081e-18
 1.387210e-02    4.620655e-18
