:q!**************************************************************************************************************


SPECIES :  I^+ / I
PROCESS:  I^+ + I -> I + I^+, Backscat
PARAM.:   delta E = 0.00
COMMENT:  Langevin at low energy and Sakabe type law fitted on Dressler data at higher energy
UPDATED:  10/31/22
COLUMNS: Energy (eV) | Cross section (m2)
-----------------------------
 1.000000e-04    3.372286e-17
 1.037605e-04    3.310612e-17
 1.076624e-04    3.250067e-17
 1.117111e-04    3.190629e-17
 1.159120e-04    3.132277e-17
 1.202708e-04    3.074993e-17
 1.247936e-04    3.018757e-17
 1.294865e-04    2.963549e-17
 1.343558e-04    2.909351e-17
 1.394083e-04    2.856144e-17
 1.446507e-04    2.803910e-17
 1.500903e-04    2.752631e-17
 1.557345e-04    2.702290e-17
 1.615909e-04    2.652870e-17
 1.676675e-04    2.604353e-17
 1.739726e-04    2.556724e-17
 1.805149e-04    2.509966e-17
 1.873032e-04    2.464063e-17
 1.943467e-04    2.418999e-17
 2.016551e-04    2.374760e-17
 2.092383e-04    2.331330e-17
 2.171068e-04    2.288694e-17
 2.252711e-04    2.246837e-17
 2.337424e-04    2.205747e-17
 2.425323e-04    2.165407e-17
 2.516527e-04    2.125806e-17
 2.611161e-04    2.086928e-17
 2.709354e-04    2.048762e-17
 2.811239e-04    2.011294e-17
 2.916956e-04    1.974510e-17
 3.026648e-04    1.938400e-17
 3.140465e-04    1.902950e-17
 3.258562e-04    1.868148e-17
 3.381101e-04    1.833983e-17
 3.508247e-04    1.800443e-17
 3.640175e-04    1.767515e-17
 3.777064e-04    1.735191e-17
 3.919100e-04    1.703457e-17
 4.066478e-04    1.672304e-17
 4.219398e-04    1.641720e-17
 4.378069e-04    1.611696e-17
 4.542706e-04    1.582221e-17
 4.713535e-04    1.553284e-17
 4.890787e-04    1.524878e-17
 5.074705e-04    1.496990e-17
 5.265540e-04    1.469613e-17
 5.463550e-04    1.442736e-17
 5.669007e-04    1.416351e-17
 5.882190e-04    1.390448e-17
 6.103390e-04    1.365019e-17
 6.332908e-04    1.340055e-17
 6.571058e-04    1.315548e-17
 6.818162e-04    1.291489e-17
 7.074559e-04    1.267870e-17
 7.340598e-04    1.244683e-17
 7.616642e-04    1.221919e-17
 7.903066e-04    1.199573e-17
 8.200261e-04    1.177635e-17
 8.508632e-04    1.156098e-17
 8.828599e-04    1.134955e-17
 9.160598e-04    1.114198e-17
 9.505083e-04    1.093821e-17
 9.862522e-04    1.073817e-17
 1.023340e-03    1.054179e-17
 1.061823e-03    1.034900e-17
 1.101753e-03    1.015973e-17
 1.143184e-03    9.973928e-18
 1.186174e-03    9.791522e-18
 1.230780e-03    9.612452e-18
 1.277063e-03    9.436656e-18
 1.325087e-03    9.264076e-18
 1.374917e-03    9.094652e-18
 1.426621e-03    8.928326e-18
 1.480269e-03    8.765042e-18
 1.535935e-03    8.604744e-18
 1.593694e-03    8.447378e-18
 1.653624e-03    8.292890e-18
 1.715809e-03    8.141227e-18
 1.780332e-03    7.992338e-18
 1.847281e-03    7.846172e-18
 1.916748e-03    7.702679e-18
 1.988828e-03    7.561810e-18
 2.063618e-03    7.423517e-18
 2.141220e-03    7.287754e-18
 2.221741e-03    7.154473e-18
 2.305289e-03    7.023630e-18
 2.391980e-03    6.895180e-18
 2.481930e-03    6.769079e-18
 2.575263e-03    6.645284e-18
 2.672106e-03    6.523753e-18
 2.772591e-03    6.404444e-18
 2.876854e-03    6.287318e-18
 2.985038e-03    6.172334e-18
 3.097291e-03    6.059452e-18
 3.213764e-03    5.948635e-18
 3.334618e-03    5.839845e-18
 3.460016e-03    5.733044e-18
 3.590130e-03    5.628196e-18
 3.725137e-03    5.525266e-18
 3.865221e-03    5.424219e-18
 4.010573e-03    5.325019e-18
 4.161391e-03    5.227633e-18
 4.317880e-03    5.132029e-18
 4.480254e-03    5.038173e-18
 4.648734e-03    4.946033e-18
 4.823549e-03    4.855579e-18
 5.004939e-03    4.766778e-18
 5.193150e-03    4.679602e-18
 5.388438e-03    4.594020e-18
 5.591071e-03    4.510003e-18
 5.801323e-03    4.427523e-18
 6.019482e-03    4.346551e-18
 6.245845e-03    4.267060e-18
 6.480720e-03    4.189023e-18
 6.724427e-03    4.112413e-18
 6.977300e-03    4.037204e-18
 7.239681e-03    3.963370e-18
 7.511929e-03    3.890887e-18
 7.794416e-03    3.819729e-18
 8.087525e-03    3.749873e-18
 8.391656e-03    3.681294e-18
 8.707225e-03    3.613969e-18
 9.034660e-03    3.547876e-18
 9.374409e-03    3.482991e-18
 9.726934e-03    3.419293e-18
 1.009272e-02    3.356760e-18
 1.047225e-02    3.295371e-18
 1.086606e-02    3.235104e-18
 1.127468e-02    3.175940e-18
 1.169866e-02    3.117857e-18
 1.213859e-02    3.060837e-18
 1.259506e-02    3.004859e-18
 1.306870e-02    2.949906e-18
 1.356015e-02    2.895957e-18
 1.407008e-02    2.842995e-18
 1.459919e-02    2.791001e-18
 1.514819e-02    2.739959e-18
 1.571784e-02    2.689849e-18
 1.630891e-02    2.640657e-18
 1.692220e-02    2.592363e-18
 1.755856e-02    2.544954e-18
 1.821885e-02    2.498411e-18
 1.890397e-02    2.452719e-18
 1.961486e-02    2.407863e-18
 2.035248e-02    2.363827e-18
 2.111783e-02    2.320597e-18
 2.191197e-02    2.278157e-18
 2.273597e-02    2.236493e-18
 2.359095e-02    2.195592e-18
 2.447809e-02    2.155438e-18
 2.539859e-02    2.116019e-18
 2.635371e-02    2.077321e-18
 2.734474e-02    2.039330e-18
 2.837304e-02    2.002034e-18
 2.944000e-02    1.965420e-18
 3.054710e-02    1.929476e-18
 3.169582e-02    1.894189e-18
 3.288774e-02    1.859548e-18
 3.412449e-02    1.825540e-18
 3.540774e-02    1.792154e-18
 3.673925e-02    1.759378e-18
 3.812083e-02    1.727202e-18
 3.955436e-02    1.695615e-18
 4.104181e-02    1.664605e-18
 4.258518e-02    1.634162e-18
 4.418660e-02    1.604276e-18
 4.584824e-02    1.574936e-18
 4.757236e-02    1.546134e-18
 4.936132e-02    1.517857e-18
 5.121755e-02    1.490098e-18
 5.314359e-02    1.462847e-18
 5.514206e-02    1.436094e-18
 5.721568e-02    1.409830e-18
 5.936727e-02    1.384047e-18
 6.159978e-02    1.358735e-18
 6.391624e-02    1.333886e-18
 6.631981e-02    1.309492e-18
 6.881377e-02    1.285543e-18
 7.140151e-02    1.262033e-18
 7.408657e-02    1.238952e-18
 7.687260e-02    1.216294e-18
 7.976339e-02    1.194050e-18
 8.276289e-02    1.172213e-18
 8.587519e-02    1.150775e-18
 8.910453e-02    1.129729e-18
 9.245531e-02    1.109069e-18
 9.593209e-02    1.102705e-18
 9.953962e-02    1.100301e-18
 1.032828e-01    1.097896e-18
 1.071668e-01    1.095491e-18
 1.111968e-01    1.093086e-18
 1.153783e-01    1.090681e-18
 1.197171e-01    1.088277e-18
 1.242191e-01    1.085872e-18
 1.288904e-01    1.083467e-18
 1.337373e-01    1.081062e-18
 1.387665e-01    1.078657e-18
 1.439848e-01    1.076253e-18
 1.493993e-01    1.073848e-18
 1.550175e-01    1.071443e-18
 1.608469e-01    1.069038e-18
 1.668956e-01    1.066633e-18
 1.731717e-01    1.064228e-18
 1.796838e-01    1.061824e-18
 1.864409e-01    1.059419e-18
 1.934520e-01    1.057014e-18
 2.007267e-01    1.054609e-18
 2.082751e-01    1.052204e-18
 2.161073e-01    1.049800e-18
 2.242340e-01    1.047395e-18
 2.326663e-01    1.044990e-18
 2.414157e-01    1.042585e-18
 2.504942e-01    1.040180e-18
 2.599140e-01    1.037776e-18
 2.696881e-01    1.035371e-18
 2.798297e-01    1.032966e-18
 2.903527e-01    1.030561e-18
 3.012714e-01    1.028156e-18
 3.126007e-01    1.025752e-18
 3.243561e-01    1.023347e-18
 3.365535e-01    1.020942e-18
 3.492096e-01    1.018537e-18
 3.623416e-01    1.016132e-18
 3.759675e-01    1.013727e-18
 3.901058e-01    1.011323e-18
 4.047757e-01    1.008918e-18
 4.199973e-01    1.006513e-18
 4.357913e-01    1.004108e-18
 4.521792e-01    1.001703e-18
 4.691835e-01    9.992986e-19
 4.868271e-01    9.968938e-19
 5.051342e-01    9.944890e-19
 5.241298e-01    9.920842e-19
 5.438397e-01    9.896794e-19
 5.642908e-01    9.872745e-19
 5.855110e-01    9.848697e-19
 6.075292e-01    9.824649e-19
 6.303753e-01    9.800601e-19
 6.540806e-01    9.776553e-19
 6.786773e-01    9.752505e-19
 7.041990e-01    9.728457e-19
 7.306804e-01    9.704409e-19
 7.581576e-01    9.680361e-19
 7.866682e-01    9.656313e-19
 8.162509e-01    9.632265e-19
 8.469460e-01    9.608216e-19
 8.787954e-01    9.584168e-19
 9.118425e-01    9.560120e-19
 9.461324e-01    9.536072e-19
 9.817117e-01    9.512024e-19
 1.018629e+00    9.487976e-19
 1.056935e+00    9.463928e-19
 1.096681e+00    9.439880e-19
 1.137921e+00    9.415832e-19
 1.180713e+00    9.391784e-19
 1.225114e+00    9.367735e-19
 1.271184e+00    9.343687e-19
 1.318987e+00    9.319639e-19
 1.368587e+00    9.295591e-19
 1.420053e+00    9.271543e-19
 1.473454e+00    9.247495e-19
 1.528864e+00    9.223447e-19
 1.586357e+00    9.199399e-19
 1.646012e+00    9.175351e-19
 1.707910e+00    9.151303e-19
 1.772136e+00    9.127255e-19
 1.838777e+00    9.103206e-19
 1.907924e+00    9.079158e-19
 1.979672e+00    9.055110e-19
 2.054117e+00    9.031062e-19
 2.131362e+00    9.007014e-19
 2.211512e+00    8.982966e-19
 2.294676e+00    8.958918e-19
 2.380968e+00    8.934870e-19
 2.470504e+00    8.910822e-19
 2.563407e+00    8.886774e-19
 2.659804e+00    8.862725e-19
 2.759826e+00    8.838677e-19
 2.863610e+00    8.814629e-19
 2.971296e+00    8.790581e-19
 3.083031e+00    8.766533e-19
 3.198969e+00    8.742485e-19
 3.319266e+00    8.718437e-19
 3.444087e+00    8.694389e-19
 3.573602e+00    8.670341e-19
 3.707988e+00    8.646293e-19
 3.847427e+00    8.622244e-19
 3.992109e+00    8.598196e-19
 4.142232e+00    8.574148e-19
 4.298001e+00    8.550100e-19
 4.459628e+00    8.526052e-19
 4.627332e+00    8.502004e-19
 4.801343e+00    8.477956e-19
 4.981898e+00    8.453908e-19
 5.169242e+00    8.429860e-19
 5.363631e+00    8.405812e-19
 5.565331e+00    8.381764e-19
 5.774615e+00    8.357715e-19
 5.991770e+00    8.333667e-19
 6.217090e+00    8.309619e-19
 6.450884e+00    8.285571e-19
 6.693470e+00    8.261523e-19
 6.945178e+00    8.237475e-19
 7.206351e+00    8.213427e-19
 7.477346e+00    8.189379e-19
 7.758532e+00    8.165331e-19
 8.050292e+00    8.141283e-19
 8.353023e+00    8.117234e-19
 8.667139e+00    8.093186e-19
 8.993067e+00    8.069138e-19
 9.331251e+00    8.045090e-19
 9.682153e+00    8.021042e-19
 1.004625e+01    7.996994e-19
 1.042404e+01    7.972946e-19
 1.081604e+01    7.948898e-19
