**************************************************************************************************************


SPECIES :  I^- / I_2
PROCESS:  I^- + I_2 -> I^- + I_2, isotropic
PARAM.:   delta E = 0.00
COMMENT:  constant value, same order of magnitude in Cl2 and O2
UPDATED:  10/31/22
COLUMNS: Energy (eV) | Cross section (m2)
-----------------------------
 1.000000e-04    1.000000e-20
 1.037605e-04    1.000000e-20
 1.076624e-04    1.000000e-20
 1.117111e-04    1.000000e-20
 1.159120e-04    1.000000e-20
 1.202708e-04    1.000000e-20
 1.247936e-04    1.000000e-20
 1.294865e-04    1.000000e-20
 1.343558e-04    1.000000e-20
 1.394083e-04    1.000000e-20
 1.446507e-04    1.000000e-20
 1.500903e-04    1.000000e-20
 1.557345e-04    1.000000e-20
 1.615909e-04    1.000000e-20
 1.676675e-04    1.000000e-20
 1.739726e-04    1.000000e-20
 1.805149e-04    1.000000e-20
 1.873032e-04    1.000000e-20
 1.943467e-04    1.000000e-20
 2.016551e-04    1.000000e-20
 2.092383e-04    1.000000e-20
 2.171068e-04    1.000000e-20
 2.252711e-04    1.000000e-20
 2.337424e-04    1.000000e-20
 2.425323e-04    1.000000e-20
 2.516527e-04    1.000000e-20
 2.611161e-04    1.000000e-20
 2.709354e-04    1.000000e-20
 2.811239e-04    1.000000e-20
 2.916956e-04    1.000000e-20
 3.026648e-04    1.000000e-20
 3.140465e-04    1.000000e-20
 3.258562e-04    1.000000e-20
 3.381101e-04    1.000000e-20
 3.508247e-04    1.000000e-20
 3.640175e-04    1.000000e-20
 3.777064e-04    1.000000e-20
 3.919100e-04    1.000000e-20
 4.066478e-04    1.000000e-20
 4.219398e-04    1.000000e-20
 4.378069e-04    1.000000e-20
 4.542706e-04    1.000000e-20
 4.713535e-04    1.000000e-20
 4.890787e-04    1.000000e-20
 5.074705e-04    1.000000e-20
 5.265540e-04    1.000000e-20
 5.463550e-04    1.000000e-20
 5.669007e-04    1.000000e-20
 5.882190e-04    1.000000e-20
 6.103390e-04    1.000000e-20
 6.332908e-04    1.000000e-20
 6.571058e-04    1.000000e-20
 6.818162e-04    1.000000e-20
 7.074559e-04    1.000000e-20
 7.340598e-04    1.000000e-20
 7.616642e-04    1.000000e-20
 7.903066e-04    1.000000e-20
 8.200261e-04    1.000000e-20
 8.508632e-04    1.000000e-20
 8.828599e-04    1.000000e-20
 9.160598e-04    1.000000e-20
 9.505083e-04    1.000000e-20
 9.862522e-04    1.000000e-20
 1.023340e-03    1.000000e-20
 1.061823e-03    1.000000e-20
 1.101753e-03    1.000000e-20
 1.143184e-03    1.000000e-20
 1.186174e-03    1.000000e-20
 1.230780e-03    1.000000e-20
 1.277063e-03    1.000000e-20
 1.325087e-03    1.000000e-20
 1.374917e-03    1.000000e-20
 1.426621e-03    1.000000e-20
 1.480269e-03    1.000000e-20
 1.535935e-03    1.000000e-20
 1.593694e-03    1.000000e-20
 1.653624e-03    1.000000e-20
 1.715809e-03    1.000000e-20
 1.780332e-03    1.000000e-20
 1.847281e-03    1.000000e-20
 1.916748e-03    1.000000e-20
 1.988828e-03    1.000000e-20
 2.063618e-03    1.000000e-20
 2.141220e-03    1.000000e-20
 2.221741e-03    1.000000e-20
 2.305289e-03    1.000000e-20
 2.391980e-03    1.000000e-20
 2.481930e-03    1.000000e-20
