**************************************************************************************************************


SPECIES :  I_2^+ / I^-
PROCESS:  I_2^+ + I^- -> 3I, RECOMBINATION
PARAM.:   delta E = 0.00
COMMENT:  rate (T)
UPDATED:  10/27/22
COLUMNS: Energy (eV) | Cross section (m2)
-----------------------------
 1.000000e-03    5.322890e-15
 1.016265e-03    5.237698e-15
 1.032795e-03    5.153870e-15
 1.049593e-03    5.071383e-15
 1.066665e-03    4.990217e-15
 1.084014e-03    4.910350e-15
 1.101646e-03    4.831761e-15
 1.119564e-03    4.754430e-15
 1.137774e-03    4.678336e-15
 1.156280e-03    4.603460e-15
 1.175087e-03    4.529783e-15
 1.194200e-03    4.457285e-15
 1.213624e-03    4.385947e-15
 1.233363e-03    4.315751e-15
 1.253424e-03    4.246678e-15
 1.273811e-03    4.178711e-15
 1.294530e-03    4.111832e-15
 1.315586e-03    4.046023e-15
 1.336984e-03    3.981267e-15
 1.358730e-03    3.917548e-15
 1.380830e-03    3.854849e-15
 1.403289e-03    3.793153e-15
 1.426114e-03    3.732444e-15
 1.449310e-03    3.672707e-15
 1.472883e-03    3.613926e-15
 1.496839e-03    3.556086e-15
 1.521186e-03    3.499172e-15
 1.545928e-03    3.443168e-15
 1.571072e-03    3.388061e-15
 1.596626e-03    3.333836e-15
 1.622595e-03    3.280479e-15
 1.648987e-03    3.227976e-15
 1.675808e-03    3.176313e-15
 1.703065e-03    3.125476e-15
 1.730766e-03    3.075454e-15
 1.758917e-03    3.026232e-15
 1.787526e-03    2.977798e-15
 1.816600e-03    2.930139e-15
 1.846147e-03    2.883243e-15
 1.876175e-03    2.837097e-15
 1.906691e-03    2.791690e-15
 1.937703e-03    2.747010e-15
 1.969220e-03    2.703044e-15
 2.001250e-03    2.659783e-15
 2.033800e-03    2.617214e-15
 2.066880e-03    2.575326e-15
 2.100498e-03    2.534108e-15
 2.134663e-03    2.493550e-15
 2.169384e-03    2.453642e-15
 2.204669e-03    2.414372e-15
 2.240528e-03    2.375730e-15
 2.276970e-03    2.337707e-15
 2.314005e-03    2.300293e-15
 2.351643e-03    2.263477e-15
 2.389893e-03    2.227251e-15
 2.428764e-03    2.191604e-15
 2.468268e-03    2.156528e-15
 2.508415e-03    2.122013e-15
 2.549215e-03    2.088051e-15
 2.590678e-03    2.054632e-15
 2.632815e-03    2.021748e-15
 2.675638e-03    1.989390e-15
 2.719158e-03    1.957551e-15
 2.763385e-03    1.926221e-15
 2.808332e-03    1.895392e-15
 2.854010e-03    1.865057e-15
 2.900430e-03    1.835207e-15
 2.947606e-03    1.805835e-15
 2.995549e-03    1.776933e-15
 3.044272e-03    1.748493e-15
 3.093788e-03    1.720509e-15
 3.144108e-03    1.692973e-15
 3.195248e-03    1.665877e-15
 3.247218e-03    1.639215e-15
 3.300035e-03    1.612980e-15
 3.353710e-03    1.587164e-15
 3.408259e-03    1.561762e-15
 3.463694e-03    1.536767e-15
 3.520031e-03    1.512171e-15
 3.577285e-03    1.487969e-15
 3.635470e-03    1.464154e-15
 3.694601e-03    1.440721e-15
 3.754694e-03    1.417663e-15
 3.815765e-03    1.394973e-15
 3.877828e-03    1.372647e-15
 3.940902e-03    1.350678e-15
 4.005001e-03    1.329061e-15
 4.070142e-03    1.307790e-15
 4.136344e-03    1.286859e-15
 4.203622e-03    1.266263e-15
 4.271994e-03    1.245997e-15
 4.341478e-03    1.226055e-15
 4.412093e-03    1.206432e-15
 4.483856e-03    1.187123e-15
 4.556786e-03    1.168124e-15
 4.630903e-03    1.149428e-15
 4.706225e-03    1.131032e-15
 4.782772e-03    1.112930e-15
 4.860564e-03    1.095118e-15
 4.939622e-03    1.077591e-15
 5.019965e-03    1.060344e-15
 5.101615e-03    1.043373e-15
 5.184594e-03    1.026674e-15
 5.268921e-03    1.010243e-15
 5.354621e-03    9.940740e-16
 5.441714e-03    9.781641e-16
 5.530224e-03    9.625088e-16
 5.620174e-03    9.471041e-16
 5.711586e-03    9.319459e-16
 5.804486e-03    9.170303e-16
 5.898896e-03    9.023535e-16
 5.994843e-03    8.879115e-16
 6.092349e-03    8.737007e-16
 6.191442e-03    8.597173e-16
 6.292146e-03    8.459577e-16
 6.394488e-03    8.324184e-16
 6.498495e-03    8.190957e-16
 6.604194e-03    8.059863e-16
 6.711612e-03    7.930866e-16
 6.820777e-03    7.803935e-16
 6.931717e-03    7.679035e-16
 7.044462e-03    7.556133e-16
 7.159041e-03    7.435199e-16
 7.275484e-03    7.316201e-16
 7.393820e-03    7.199106e-16
 7.514081e-03    7.083886e-16
 7.636298e-03    6.970510e-16
 7.760503e-03    6.858949e-16
 7.886729e-03    6.749173e-16
 8.015007e-03    6.641154e-16
 8.145372e-03    6.534864e-16
 8.277857e-03    6.430275e-16
 8.412497e-03    6.327360e-16
 8.549327e-03    6.226092e-16
 8.688383e-03    6.126445e-16
 8.829700e-03    6.028392e-16
 8.973316e-03    5.931909e-16
 9.119268e-03    5.836971e-16
 9.267593e-03    5.743551e-16
 9.418332e-03    5.651627e-16
 9.571522e-03    5.561174e-16
 9.727203e-03    5.472169e-16
 9.885417e-03    5.384588e-16
 1.004620e-02    5.298409e-16
 1.020961e-02    5.213609e-16
 1.037567e-02    5.130166e-16
 1.054443e-02    5.048059e-16
 1.071593e-02    4.967266e-16
 1.089023e-02    4.887766e-16
 1.106736e-02    4.809539e-16
 1.124737e-02    4.732563e-16
 1.143031e-02    4.656819e-16
 1.161623e-02    4.582288e-16
 1.180517e-02    4.508950e-16
 1.199718e-02    4.436785e-16
 1.219231e-02    4.365775e-16
 1.239062e-02    4.295902e-16
 1.259216e-02    4.227147e-16
 1.279697e-02    4.159493e-16
 1.300511e-02    4.092921e-16
 1.321664e-02    4.027415e-16
 1.343161e-02    3.962957e-16
 1.365008e-02    3.899531e-16
 1.387210e-02    3.837119e-16
 1.409773e-02    3.775707e-16
 1.432703e-02    3.715278e-16
 1.456006e-02    3.655816e-16
 1.479688e-02    3.597305e-16
 1.503755e-02    3.539731e-16
 1.528214e-02    3.483079e-16
 1.553071e-02    3.427333e-16
 1.578331e-02    3.372479e-16
 1.604003e-02    3.318503e-16
 1.630092e-02    3.265391e-16
 1.656606e-02    3.213130e-16
 1.683551e-02    3.161704e-16
 1.710934e-02    3.111102e-16
 1.738762e-02    3.061309e-16
 1.767044e-02    3.012314e-16
 1.795785e-02    2.964102e-16
 1.824993e-02    2.916663e-16
 1.854677e-02    2.869982e-16
 1.884843e-02    2.824049e-16
 1.915501e-02    2.778850e-16
 1.946656e-02    2.734376e-16
 1.978319e-02    2.690613e-16
 2.010496e-02    2.647550e-16
 2.043197e-02    2.605177e-16
 2.076430e-02    2.563481e-16
 2.110203e-02    2.522453e-16
 2.144526e-02    2.482082e-16
 2.179407e-02    2.442357e-16
 2.214855e-02    2.403268e-16
 2.250880e-02    2.364804e-16
 2.287491e-02    2.326956e-16
 2.324697e-02    2.289713e-16
 2.362508e-02    2.253067e-16
 2.400935e-02    2.217007e-16
 2.439986e-02    2.181524e-16
 2.479673e-02    2.146610e-16
 2.520005e-02    2.112254e-16
 2.560993e-02    2.078447e-16
 2.602648e-02    2.045182e-16
 2.644980e-02    2.012450e-16
 2.688001e-02    1.980241e-16
 2.731722e-02    1.948548e-16
 2.776153e-02    1.917362e-16
 2.821308e-02    1.886675e-16
 2.867196e-02    1.856479e-16
 2.913832e-02    1.826766e-16
 2.961225e-02    1.797529e-16
 3.009390e-02    1.768760e-16
 3.058338e-02    1.740452e-16
 3.108082e-02    1.712596e-16
 3.158635e-02    1.685186e-16
 3.210011e-02    1.658215e-16
 3.262222e-02    1.631676e-16
 3.315282e-02    1.605561e-16
 3.369206e-02    1.579865e-16
 3.424006e-02    1.554579e-16
 3.479698e-02    1.529699e-16
 3.536296e-02    1.505216e-16
 3.593814e-02    1.481126e-16
 3.652267e-02    1.457421e-16
 3.711672e-02    1.434095e-16
 3.772042e-02    1.411143e-16
 3.833395e-02    1.388558e-16
 3.895746e-02    1.366334e-16
 3.959110e-02    1.344466e-16
 4.023506e-02    1.322948e-16
 4.088948e-02    1.301775e-16
 4.155455e-02    1.280940e-16
 4.223044e-02    1.260439e-16
 4.291732e-02    1.240266e-16
 4.361538e-02    1.220416e-16
 4.432479e-02    1.200883e-16
 4.504573e-02    1.181663e-16
 4.577841e-02    1.162751e-16
 4.652300e-02    1.144142e-16
 4.727970e-02    1.125830e-16
 4.804870e-02    1.107811e-16
 4.883022e-02    1.090081e-16
 4.962445e-02    1.072635e-16
 5.043159e-02    1.055467e-16
 5.125187e-02    1.038575e-16
 5.208549e-02    1.021953e-16
 5.293266e-02    1.005596e-16
 5.379362e-02    9.895021e-17
 5.466857e-02    9.736654e-17
 5.555776e-02    9.580821e-17
 5.646141e-02    9.427482e-17
 5.737976e-02    9.276597e-17
 5.831305e-02    9.128127e-17
 5.926152e-02    8.982034e-17
 6.022541e-02    8.838279e-17
 6.120498e-02    8.696824e-17
 6.220049e-02    8.557633e-17
 6.321218e-02    8.420670e-17
 6.424034e-02    8.285899e-17
 6.528521e-02    8.153285e-17
 6.634708e-02    8.022794e-17
 6.742622e-02    7.894391e-17
 6.852292e-02    7.768043e-17
 6.963745e-02    7.643717e-17
 7.077011e-02    7.521381e-17
 7.192119e-02    7.401003e-17
 7.309099e-02    7.282552e-17
 7.427982e-02    7.165996e-17
 7.548799e-02    7.051306e-17
 7.671581e-02    6.938452e-17
 7.796360e-02    6.827404e-17
 7.923169e-02    6.718132e-17
 8.052040e-02    6.610610e-17
 8.183007e-02    6.504809e-17
 8.316104e-02    6.400701e-17
 8.451366e-02    6.298259e-17
 8.588829e-02    6.197457e-17
 8.728527e-02    6.098268e-17
 8.870497e-02    6.000667e-17
 9.014776e-02    5.904628e-17
 9.161402e-02    5.810125e-17
 9.310413e-02    5.717136e-17
 9.461848e-02    5.625634e-17
 9.615746e-02    5.535597e-17
 9.772147e-02    5.447001e-17
 9.931092e-02    5.359823e-17
 1.009262e-01    5.274040e-17
 1.025678e-01    5.189631e-17
 1.042361e-01    5.106572e-17
 1.059315e-01    5.024842e-17
 1.076545e-01    4.944421e-17
 1.094055e-01    4.865287e-17
 1.111850e-01    4.787419e-17
 1.129934e-01    4.710797e-17
 1.148312e-01    4.635402e-17
 1.166990e-01    4.561213e-17
 1.185971e-01    4.488212e-17
 1.205261e-01    4.416379e-17
 1.224865e-01    4.345696e-17
 1.244787e-01    4.276144e-17
 1.265034e-01    4.207706e-17
 1.285610e-01    4.140362e-17
 1.306520e-01    4.074097e-17
 1.327771e-01    4.008892e-17
 1.349367e-01    3.944730e-17
 1.371315e-01    3.881596e-17
 1.393619e-01    3.819472e-17
 1.416287e-01    3.758342e-17
 1.439323e-01    3.698191e-17
 1.462733e-01    3.639002e-17
 1.486525e-01    3.580761e-17
 1.510703e-01    3.523451e-17
 1.535275e-01    3.467059e-17
 1.560246e-01    3.411570e-17
 1.585624e-01    3.356968e-17
 1.611414e-01    3.303241e-17
 1.637624e-01    3.250373e-17
 1.664260e-01    3.198352e-17
 1.691330e-01    3.147163e-17
 1.718839e-01    3.096793e-17
 1.746796e-01    3.047230e-17
 1.775208e-01    2.998460e-17
 1.804082e-01    2.950470e-17
 1.833425e-01    2.903248e-17
 1.863246e-01    2.856783e-17
 1.893552e-01    2.811060e-17
 1.924351e-01    2.766070e-17
 1.955651e-01    2.721800e-17
 1.987460e-01    2.678238e-17
 2.019786e-01    2.635373e-17
 2.052638e-01    2.593195e-17
 2.086024e-01    2.551691e-17
 2.119953e-01    2.510852e-17
 2.154435e-01    2.470667e-17
 2.189477e-01    2.431124e-17
 2.225089e-01    2.392214e-17
 2.261280e-01    2.353928e-17
 2.298060e-01    2.316254e-17
 2.335438e-01    2.279182e-17
 2.373424e-01    2.242705e-17
 2.412028e-01    2.206811e-17
 2.451260e-01    2.171491e-17
 2.491130e-01    2.136737e-17
 2.531648e-01    2.102539e-17
 2.572826e-01    2.068888e-17
 2.614673e-01    2.035776e-17
 2.657201e-01    2.003194e-17
 2.700421e-01    1.971133e-17
 2.744343e-01    1.939586e-17
 2.788980e-01    1.908543e-17
 2.834343e-01    1.877998e-17
 2.880444e-01    1.847941e-17
 2.927295e-01    1.818365e-17
 2.974908e-01    1.789262e-17
 3.023295e-01    1.760625e-17
 3.072469e-01    1.732447e-17
 3.122443e-01    1.704720e-17
 3.173230e-01    1.677436e-17
 3.224842e-01    1.650589e-17
 3.277295e-01    1.624172e-17
 3.330600e-01    1.598177e-17
 3.384773e-01    1.572599e-17
 3.439826e-01    1.547430e-17
 3.495776e-01    1.522663e-17
 3.552635e-01    1.498294e-17
 3.610419e-01    1.474314e-17
 3.669142e-01    1.450718e-17
 3.728821e-01    1.427499e-17
 3.789471e-01    1.404652e-17
 3.851107e-01    1.382171e-17
 3.913746e-01    1.360050e-17
 3.977403e-01    1.338283e-17
 4.042096e-01    1.316864e-17
 4.107841e-01    1.295788e-17
 4.174655e-01    1.275049e-17
 4.242556e-01    1.254642e-17
 4.311562e-01    1.234562e-17
 4.381690e-01    1.214803e-17
 4.452959e-01    1.195360e-17
 4.525386e-01    1.176229e-17
 4.598992e-01    1.157404e-17
 4.673795e-01    1.138880e-17
 4.749815e-01    1.120652e-17
 4.827071e-01    1.102716e-17
 4.905584e-01    1.085068e-17
 4.985373e-01    1.067701e-17
 5.066461e-01    1.050613e-17
 5.148867e-01    1.033798e-17
 5.232614e-01    1.017252e-17
 5.317723e-01    1.000972e-17
 5.404216e-01    9.849512e-18
 5.492116e-01    9.691873e-18
 5.581446e-01    9.536757e-18
 5.672229e-01    9.384123e-18
 5.764488e-01    9.233933e-18
 5.858248e-01    9.086146e-18
 5.953533e-01    8.940724e-18
 6.050368e-01    8.797630e-18
 6.148778e-01    8.656826e-18
 6.248788e-01    8.518275e-18
 6.350425e-01    8.381942e-18
 6.453715e-01    8.247791e-18
 6.558686e-01    8.115787e-18
 6.665363e-01    7.985896e-18
 6.773776e-01    7.858083e-18
 6.883952e-01    7.732317e-18
 6.995920e-01    7.608563e-18
 7.109709e-01    7.486789e-18
 7.225349e-01    7.366965e-18
 7.342870e-01    7.249058e-18
 7.462303e-01    7.133039e-18
 7.583678e-01    7.018876e-18
 7.707027e-01    6.906541e-18
 7.832383e-01    6.796003e-18
 7.959777e-01    6.687235e-18
 8.089243e-01    6.580207e-18
 8.220816e-01    6.474892e-18
 8.354528e-01    6.371263e-18
 8.490415e-01    6.269293e-18
 8.628513e-01    6.168954e-18
 8.768856e-01    6.070221e-18
 8.911482e-01    5.973069e-18
 9.056428e-01    5.877471e-18
 9.203732e-01    5.783404e-18
 9.353432e-01    5.690842e-18
 9.505566e-01    5.599761e-18
 9.660175e-01    5.510138e-18
 9.817298e-01    5.421950e-18
 9.976978e-01    5.335172e-18
 1.013925e+00    5.249784e-18
 1.030417e+00    5.165763e-18
 1.047177e+00    5.083086e-18
 1.064209e+00    5.001732e-18
 1.081519e+00    4.921681e-18
 1.099110e+00    4.842910e-18
 1.116987e+00    4.765401e-18
 1.135155e+00    4.689131e-18
 1.153618e+00    4.614083e-18
 1.172382e+00    4.540236e-18
 1.191451e+00    4.467570e-18
 1.210830e+00    4.396068e-18
 1.230524e+00    4.325710e-18
 1.250539e+00    4.256478e-18
 1.270879e+00    4.188354e-18
 1.291550e+00    4.121320e-18
 1.312557e+00    4.055359e-18
 1.333906e+00    3.990454e-18
 1.355602e+00    3.926588e-18
 1.377651e+00    3.863744e-18
 1.400058e+00    3.801905e-18
 1.422830e+00    3.741057e-18
 1.445973e+00    3.681182e-18
 1.469492e+00    3.622266e-18
 1.493393e+00    3.564292e-18
 1.517683e+00    3.507246e-18
 1.542369e+00    3.451114e-18
 1.567455e+00    3.395879e-18
 1.592950e+00    3.341529e-18
 1.618860e+00    3.288049e-18
 1.645191e+00    3.235424e-18
 1.671950e+00    3.183642e-18
 1.699144e+00    3.132689e-18
 1.726781e+00    3.082551e-18
 1.754867e+00    3.033215e-18
 1.783410e+00    2.984669e-18
 1.812418e+00    2.936900e-18
 1.841897e+00    2.889896e-18
 1.871855e+00    2.843644e-18
 1.902301e+00    2.798132e-18
 1.933242e+00    2.753348e-18
 1.964687e+00    2.709282e-18
 1.996642e+00    2.665920e-18
 2.029118e+00    2.623253e-18
 2.062122e+00    2.581268e-18
 2.095662e+00    2.539956e-18
 2.129749e+00    2.499304e-18
 2.164389e+00    2.459303e-18
 2.199593e+00    2.419943e-18
 2.235370e+00    2.381212e-18
 2.271728e+00    2.343102e-18
 2.308678e+00    2.305601e-18
 2.346229e+00    2.268700e-18
 2.384390e+00    2.232390e-18
 2.423173e+00    2.196661e-18
 2.462586e+00    2.161504e-18
 2.502640e+00    2.126910e-18
 2.543346e+00    2.092869e-18
 2.584714e+00    2.059373e-18
 2.626754e+00    2.026413e-18
 2.669478e+00    1.993981e-18
 2.712898e+00    1.962068e-18
 2.757023e+00    1.930665e-18
 2.801867e+00    1.899766e-18
 2.847439e+00    1.869360e-18
 2.893753e+00    1.839442e-18
 2.940820e+00    1.810002e-18
 2.988653e+00    1.781033e-18
 3.037264e+00    1.752528e-18
 3.086665e+00    1.724479e-18
 3.136870e+00    1.696879e-18
 3.187891e+00    1.669721e-18
 3.239743e+00    1.642998e-18
 3.292437e+00    1.616702e-18
 3.345989e+00    1.590827e-18
 3.400412e+00    1.565366e-18
 3.455720e+00    1.540313e-18
