**************************************************************************************************************


SPECIES :  I_2^+ / I2
PROCESS:  I_2^+ + I2 -> I_2 + I2^+, Backscat
PARAM.:   delta E = 0.00
COMMENT:  fit from fig 2 in Hause et al (2015) in the center of mass, overestimated as a small contribution from fragmentation is included
UPDATED:  10/31/22
COLUMNS: Energy (eV) | Cross section (m2)
-----------------------------
 1.000000e-03    3.441951e-17
 1.016265e-03    3.414296e-17
 1.032795e-03    3.386863e-17
 1.049593e-03    3.359651e-17
 1.066665e-03    3.332657e-17
 1.084014e-03    3.305880e-17
 1.101646e-03    3.279319e-17
 1.119564e-03    3.252970e-17
 1.137774e-03    3.226834e-17
 1.156280e-03    3.200907e-17
 1.175087e-03    3.175189e-17
 1.194200e-03    3.149677e-17
 1.213624e-03    3.124371e-17
 1.233363e-03    3.099268e-17
 1.253424e-03    3.074366e-17
 1.273811e-03    3.049665e-17
 1.294530e-03    3.025162e-17
 1.315586e-03    3.000855e-17
 1.336984e-03    2.976745e-17
 1.358730e-03    2.952827e-17
 1.380830e-03    2.929102e-17
 1.403289e-03    2.905568e-17
 1.426114e-03    2.882223e-17
 1.449310e-03    2.859065e-17
 1.472883e-03    2.836093e-17
 1.496839e-03    2.813306e-17
 1.521186e-03    2.790702e-17
 1.545928e-03    2.768280e-17
 1.571072e-03    2.746038e-17
 1.596626e-03    2.723974e-17
 1.622595e-03    2.702088e-17
 1.648987e-03    2.680378e-17
 1.675808e-03    2.658842e-17
 1.703065e-03    2.637479e-17
 1.730766e-03    2.616288e-17
 1.758917e-03    2.595267e-17
 1.787526e-03    2.574415e-17
 1.816600e-03    2.553730e-17
 1.846147e-03    2.533212e-17
 1.876175e-03    2.512858e-17
 1.906691e-03    2.492668e-17
 1.937703e-03    2.472641e-17
 1.969220e-03    2.452774e-17
 2.001250e-03    2.433066e-17
 2.033800e-03    2.413518e-17
 2.066880e-03    2.394126e-17
 2.100498e-03    2.374890e-17
 2.134663e-03    2.355808e-17
 2.169384e-03    2.336880e-17
 2.204669e-03    2.318104e-17
 2.240528e-03    2.299479e-17
 2.276970e-03    2.281003e-17
 2.314005e-03    2.262676e-17
 2.351643e-03    2.244497e-17
 2.389893e-03    2.226463e-17
 2.428764e-03    2.208574e-17
 2.468268e-03    2.190829e-17
 2.508415e-03    2.173226e-17
 2.549215e-03    2.155765e-17
 2.590678e-03    2.138444e-17
 2.632815e-03    2.121263e-17
 2.675638e-03    2.104219e-17
 2.719158e-03    2.087312e-17
 2.763385e-03    2.070541e-17
 2.808332e-03    2.053905e-17
 2.854010e-03    2.037403e-17
 2.900430e-03    2.021033e-17
 2.947606e-03    2.004795e-17
 2.995549e-03    1.988687e-17
 3.044272e-03    1.972708e-17
 3.093788e-03    1.956858e-17
 3.144108e-03    1.941136e-17
 3.195248e-03    1.925539e-17
 3.247218e-03    1.910068e-17
 3.300035e-03    1.894721e-17
 3.353710e-03    1.879498e-17
 3.408259e-03    1.864397e-17
 3.463694e-03    1.849417e-17
 3.520031e-03    1.834558e-17
 3.577285e-03    1.819818e-17
 3.635470e-03    1.805196e-17
 3.694601e-03    1.790692e-17
 3.754694e-03    1.776304e-17
 3.815765e-03    1.762032e-17
 3.877828e-03    1.747875e-17
 3.940902e-03    1.733831e-17
 4.005001e-03    1.719901e-17
 4.070142e-03    1.706082e-17
 4.136344e-03    1.692374e-17
 4.203622e-03    1.678776e-17
 4.271994e-03    1.665288e-17
 4.341478e-03    1.651908e-17
 4.412093e-03    1.638635e-17
 4.483856e-03    1.625469e-17
 4.556786e-03    1.612409e-17
 4.630903e-03    1.599454e-17
 4.706225e-03    1.586603e-17
 4.782772e-03    1.573855e-17
 4.860564e-03    1.561210e-17
 4.939622e-03    1.548666e-17
 5.019965e-03    1.536223e-17
 5.101615e-03    1.523880e-17
 5.184594e-03    1.511636e-17
 5.268921e-03    1.499491e-17
 5.354621e-03    1.487443e-17
 5.441714e-03    1.475492e-17
 5.530224e-03    1.463637e-17
 5.620174e-03    1.451877e-17
 5.711586e-03    1.440211e-17
 5.804486e-03    1.428640e-17
 5.898896e-03    1.417161e-17
 5.994843e-03    1.405775e-17
 6.092349e-03    1.394480e-17
 6.191442e-03    1.383276e-17
 6.292146e-03    1.372161e-17
 6.394488e-03    1.361137e-17
 6.498495e-03    1.350200e-17
 6.604194e-03    1.339352e-17
 6.711612e-03    1.328591e-17
 6.820777e-03    1.317916e-17
 6.931717e-03    1.307327e-17
 7.044462e-03    1.296823e-17
 7.159041e-03    1.286403e-17
 7.275484e-03    1.276068e-17
 7.393820e-03    1.265815e-17
 7.514081e-03    1.255644e-17
 7.636298e-03    1.245556e-17
 7.760503e-03    1.235548e-17
 7.886729e-03    1.225621e-17
 8.015007e-03    1.215774e-17
 8.145372e-03    1.206005e-17
 8.277857e-03    1.196315e-17
 8.412497e-03    1.186703e-17
 8.549327e-03    1.177169e-17
 8.688383e-03    1.167710e-17
 8.829700e-03    1.158328e-17
 8.973316e-03    1.149021e-17
 9.119268e-03    1.139789e-17
 9.267593e-03    1.130632e-17
 9.418332e-03    1.121547e-17
 9.571522e-03    1.112536e-17
 9.727203e-03    1.103597e-17
 9.885417e-03    1.094730e-17
 1.004620e-02    1.085934e-17
 1.020961e-02    1.077209e-17
 1.037567e-02    1.068554e-17
 1.054443e-02    1.059969e-17
 1.071593e-02    1.051452e-17
 1.089023e-02    1.043004e-17
 1.106736e-02    1.034624e-17
 1.124737e-02    1.026311e-17
 1.143031e-02    1.018065e-17
 1.161623e-02    1.009885e-17
 1.180517e-02    1.001771e-17
 1.199718e-02    9.937224e-18
 1.219231e-02    9.857382e-18
 1.239062e-02    9.778181e-18
 1.259216e-02    9.699617e-18
 1.279697e-02    9.621684e-18
 1.300511e-02    9.544377e-18
 1.321664e-02    9.467691e-18
 1.343161e-02    9.391621e-18
 1.365008e-02    9.316163e-18
 1.387210e-02    9.241310e-18
 1.409773e-02    9.167060e-18
 1.432703e-02    9.093405e-18
 1.456006e-02    9.020343e-18
 1.479688e-02    8.947867e-18
 1.503755e-02    8.875974e-18
 1.528214e-02    8.804659e-18
 1.553071e-02    8.733916e-18
 1.578331e-02    8.663742e-18
 1.604003e-02    8.594132e-18
 1.630092e-02    8.525081e-18
 1.656606e-02    8.456585e-18
 1.683551e-02    8.388639e-18
 1.710934e-02    8.321239e-18
 1.738762e-02    8.254381e-18
 1.767044e-02    8.188060e-18
 1.795785e-02    8.122271e-18
 1.824993e-02    8.057012e-18
 1.854677e-02    7.992276e-18
 1.884843e-02    7.928061e-18
 1.915501e-02    7.864362e-18
 1.946656e-02    7.801174e-18
 1.978319e-02    7.738494e-18
 2.010496e-02    7.676318e-18
 2.043197e-02    7.614642e-18
 2.076430e-02    7.553461e-18
 2.110203e-02    7.492771e-18
 2.144526e-02    7.432569e-18
 2.179407e-02    7.372851e-18
 2.214855e-02    7.313613e-18
 2.250880e-02    7.254850e-18
 2.287491e-02    7.196560e-18
 2.324697e-02    7.138738e-18
 2.362508e-02    7.081381e-18
 2.400935e-02    7.024484e-18
 2.439986e-02    6.968045e-18
 2.479673e-02    6.912059e-18
 2.520005e-02    6.856523e-18
 2.560993e-02    6.801433e-18
 2.602648e-02    6.746786e-18
 2.644980e-02    6.692578e-18
 2.688001e-02    6.638805e-18
 2.731722e-02    6.585464e-18
 2.776153e-02    6.532552e-18
 2.821308e-02    6.480066e-18
 2.867196e-02    6.428000e-18
 2.913832e-02    6.376354e-18
 2.961225e-02    6.325122e-18
 3.009390e-02    6.274302e-18
 3.058338e-02    6.223890e-18
 3.108082e-02    6.173883e-18
 3.158635e-02    6.124278e-18
 3.210011e-02    6.075071e-18
 3.262222e-02    6.026260e-18
 3.315282e-02    5.977841e-18
 3.369206e-02    5.929811e-18
 3.424006e-02    5.882167e-18
 3.479698e-02    5.834906e-18
 3.536296e-02    5.788024e-18
 3.593814e-02    5.741520e-18
 3.652267e-02    5.695388e-18
 3.711672e-02    5.649628e-18
 3.772042e-02    5.604235e-18
 3.833395e-02    5.559207e-18
 3.895746e-02    5.514540e-18
 3.959110e-02    5.470233e-18
 4.023506e-02    5.426282e-18
 4.088948e-02    5.382683e-18
 4.155455e-02    5.339435e-18
 4.223044e-02    5.296535e-18
 4.291732e-02    5.253979e-18
 4.361538e-02    5.211765e-18
 4.432479e-02    5.169890e-18
 4.504573e-02    5.128352e-18
 4.577841e-02    5.087147e-18
 4.652300e-02    5.046274e-18
 4.727970e-02    5.005728e-18
 4.804870e-02    4.965509e-18
 4.883022e-02    4.925613e-18
 4.962445e-02    4.886037e-18
 5.043159e-02    4.846780e-18
 5.125187e-02    4.807837e-18
 5.208549e-02    4.769208e-18
 5.293266e-02    4.730889e-18
 5.379362e-02    4.692878e-18
 5.466857e-02    4.655172e-18
 5.555776e-02    4.617770e-18
 5.646141e-02    4.580667e-18
 5.737976e-02    4.543863e-18
 5.831305e-02    4.507355e-18
 5.926152e-02    4.471140e-18
 6.022541e-02    4.435216e-18
 6.120498e-02    4.399580e-18
 6.220049e-02    4.364231e-18
 6.321218e-02    4.329166e-18
 6.424034e-02    4.294382e-18
 6.528521e-02    4.259879e-18
 6.634708e-02    4.225652e-18
 6.742622e-02    4.191700e-18
 6.852292e-02    4.158021e-18
 6.963745e-02    4.124613e-18
 7.077011e-02    4.091473e-18
 7.192119e-02    4.058599e-18
 7.309099e-02    4.025990e-18
 7.427982e-02    3.993643e-18
 7.548799e-02    3.961555e-18
 7.671581e-02    3.929725e-18
 7.796360e-02    3.898151e-18
 7.923169e-02    3.866831e-18
 8.052040e-02    3.835762e-18
 8.183007e-02    3.804943e-18
 8.316104e-02    3.774372e-18
 8.451366e-02    3.744046e-18
 8.588829e-02    3.713964e-18
 8.728527e-02    3.684123e-18
 8.870497e-02    3.654523e-18
 9.014776e-02    3.625160e-18
 9.161402e-02    3.596033e-18
 9.310413e-02    3.567140e-18
 9.461848e-02    3.538479e-18
 9.615746e-02    3.510049e-18
 9.772147e-02    3.481847e-18
 9.931092e-02    3.453871e-18
 1.009262e-01    3.426120e-18
 1.025678e-01    3.398593e-18
 1.042361e-01    3.371286e-18
 1.059315e-01    3.344199e-18
 1.076545e-01    3.317329e-18
 1.094055e-01    3.290676e-18
 1.111850e-01    3.264236e-18
 1.129934e-01    3.238009e-18
 1.148312e-01    3.211993e-18
 1.166990e-01    3.186186e-18
 1.185971e-01    3.160586e-18
 1.205261e-01    3.135192e-18
 1.224865e-01    3.110001e-18
 1.244787e-01    3.085014e-18
 1.265034e-01    3.060227e-18
 1.285610e-01    3.035639e-18
 1.306520e-01    3.011248e-18
 1.327771e-01    2.987054e-18
 1.349367e-01    2.963054e-18
 1.371315e-01    2.939247e-18
 1.393619e-01    2.915631e-18
 1.416287e-01    2.892205e-18
 1.439323e-01    2.868967e-18
 1.462733e-01    2.845916e-18
 1.486525e-01    2.823050e-18
 1.510703e-01    2.800368e-18
 1.535275e-01    2.777868e-18
 1.560246e-01    2.755548e-18
 1.585624e-01    2.733408e-18
 1.611414e-01    2.711446e-18
 1.637624e-01    2.689661e-18
 1.664260e-01    2.668050e-18
 1.691330e-01    2.646613e-18
 1.718839e-01    2.625349e-18
 1.746796e-01    2.604255e-18
 1.775208e-01    2.583331e-18
 1.804082e-01    2.562574e-18
 1.833425e-01    2.541985e-18
 1.863246e-01    2.521561e-18
 1.893552e-01    2.501301e-18
 1.924351e-01    2.481204e-18
 1.955651e-01    2.461268e-18
 1.987460e-01    2.441493e-18
 2.019786e-01    2.421876e-18
 2.052638e-01    2.402417e-18
 2.086024e-01    2.383115e-18
 2.119953e-01    2.363967e-18
 2.154435e-01    2.344974e-18
 2.189477e-01    2.326133e-18
 2.225089e-01    2.307443e-18
 2.261280e-01    2.288903e-18
 2.298060e-01    2.270513e-18
 2.335438e-01    2.252270e-18
 2.373424e-01    2.234174e-18
 2.412028e-01    2.216223e-18
 2.451260e-01    2.198416e-18
 2.491130e-01    2.180753e-18
 2.531648e-01    2.163231e-18
 2.572826e-01    2.145850e-18
 2.614673e-01    2.128609e-18
 2.657201e-01    2.111506e-18
 2.700421e-01    2.094541e-18
 2.744343e-01    2.077712e-18
 2.788980e-01    2.061019e-18
 2.834343e-01    2.044459e-18
 2.880444e-01    2.028032e-18
 2.927295e-01    2.011738e-18
 2.974908e-01    1.995574e-18
 3.023295e-01    1.979540e-18
 3.072469e-01    1.963636e-18
 3.122443e-01    1.947858e-18
 3.173230e-01    1.932208e-18
 3.224842e-01    1.916683e-18
 3.277295e-01    1.901283e-18
 3.330600e-01    1.886007e-18
 3.384773e-01    1.870854e-18
 3.439826e-01    1.855822e-18
 3.495776e-01    1.840911e-18
 3.552635e-01    1.826120e-18
 3.610419e-01    1.811448e-18
 3.669142e-01    1.796894e-18
 3.728821e-01    1.782456e-18
 3.789471e-01    1.768135e-18
 3.851107e-01    1.753928e-18
 3.913746e-01    1.739836e-18
 3.977403e-01    1.725857e-18
 4.042096e-01    1.711990e-18
 4.107841e-01    1.698235e-18
 4.174655e-01    1.684590e-18
 4.242556e-01    1.671055e-18
 4.311562e-01    1.657629e-18
 4.381690e-01    1.644310e-18
