xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx

xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx


**************************************************************************************************************

**************************************************************************************************************

ELASTIC
$e^- + I(^2P_{3/2}) (29 lvl)$
 4.322778e-06
SPECIES :  e / I_32
PROCESS:  E + I_32 -> E + I_32, Elastic
PARAM.:   m/M = 4.322778e-06
COMMENT:  From Bartschat, 29 levels
UPDATED:  05/01/22
COLUMNS: Energy (eV) | Cross section (m2)
-----------------------------
 6.000070e-02    1.153345e-17
 7.000081e-02    1.156130e-17
 8.000093e-02    1.142563e-17
 9.000105e-02    1.120557e-17
 1.000012e-01    1.094662e-17
 1.100013e-01    1.067261e-17
 1.200014e-01    1.039613e-17
 1.300015e-01    1.012426e-17
 1.400016e-01    9.861019e-18
 1.500017e-01    9.608309e-18
 1.600019e-01    9.365986e-18
 1.700020e-01    9.131805e-18
 1.800021e-01    8.902049e-18
 1.900022e-01    8.672986e-18
 2.000023e-01    8.442372e-18
 2.100161e-01    8.209521e-18
 2.200162e-01    7.976792e-18
 2.300163e-01    7.745225e-18
 2.400164e-01    7.515764e-18
 2.500165e-01    7.288234e-18
 2.600166e-01    7.061093e-18
 2.700167e-01    6.831807e-18
 2.800169e-01    6.597902e-18
 2.900170e-01    6.358862e-18
 3.000171e-01    6.117750e-18
 3.100172e-01    5.880817e-18
 3.200173e-01    5.654551e-18
 3.300174e-01    5.442884e-18
 3.400176e-01    5.246518e-18
 3.500177e-01    5.064037e-18
 3.600178e-01    4.893308e-18
 3.700179e-01    4.732271e-18
 3.800180e-01    4.579277e-18
 3.900181e-01    4.433093e-18
 4.000183e-01    4.292808e-18
 4.100184e-01    4.157801e-18
 4.200185e-01    4.027581e-18
 4.300186e-01    3.901792e-18
 4.400187e-01    3.780173e-18
 4.500188e-01    3.662529e-18
 4.600189e-01    3.548619e-18
 4.700191e-01    3.438320e-18
 4.800192e-01    3.331529e-18
 4.900193e-01    3.228065e-18
 5.000194e-01    3.127833e-18
 5.100195e-01    3.030723e-18
 5.200197e-01    2.936675e-18
 5.300198e-01    2.845539e-18
 5.400199e-01    2.757228e-18
 5.500200e-01    2.671684e-18
 5.600201e-01    2.588788e-18
 5.700202e-01    2.508472e-18
 5.800203e-01    2.430670e-18
 5.900205e-01    2.355288e-18
 6.000206e-01    2.282305e-18
 6.100207e-01    2.211551e-18
 6.200208e-01    2.142989e-18
 6.300345e-01    2.076516e-18
 6.400347e-01    2.012150e-18
 6.500348e-01    1.949778e-18
 6.600349e-01    1.889329e-18
 6.700350e-01    1.830741e-18
 6.800351e-01    1.773952e-18
 6.900352e-01    1.718885e-18
 7.000353e-01    1.665472e-18
 7.100355e-01    1.613648e-18
 7.200356e-01    1.563350e-18
 7.300357e-01    1.514502e-18
 7.400358e-01    1.467029e-18
 7.500359e-01    1.420900e-18
 7.600360e-01    1.375945e-18
 7.700362e-01    1.332101e-18
 7.800363e-01    1.289281e-18
 7.900364e-01    1.247371e-18
 8.000365e-01    1.206262e-18
 8.100366e-01    1.165868e-18
 8.200367e-01    1.126161e-18
 8.300369e-01    1.087321e-18
 8.400370e-01    1.050005e-18
 8.500371e-01    1.015801e-18
 8.600372e-01    9.875694e-19
 8.700373e-01    9.681840e-19
 8.800374e-01    9.566907e-19
 8.900376e-01    9.471000e-19
 9.000377e-01    9.339416e-19
 1.010039e+00    6.849583e-19
 1.020039e+00    6.661803e-19
 1.030039e+00    6.480805e-19
 1.040039e+00    6.307052e-19
 1.050053e+00    6.140941e-19
 1.060053e+00    5.983225e-19
 1.070053e+00    5.834171e-19
 1.080053e+00    5.694437e-19
 1.090053e+00    5.564503e-19
 1.100054e+00    5.445313e-19
 1.110054e+00    5.337775e-19
 1.120054e+00    5.243438e-19
 1.130054e+00    5.164567e-19
 1.140054e+00    5.104499e-19
